set title 'Graph'
set size ratio 1.0
set xrange[0:1]
set yrange[0:1]
0.642095 0.0227952
0.634988 0.0392181

0.70568 0.305815
0.608514 0.364959

0.829236 0.372565
0.820604 0.37923

0.234899 0.234662
0.154945 0.213658

0.650619 0.288247
0.625105 0.284958

0.345233 0.122322
0.361268 0.122304

0.324636 0.41061
0.334741 0.26918

0.480214 0.0713855
0.47913 0.0737493

0.930679 0.330009
0.931475 0.430167

0.0503758 0.0634462
0.055538 0.0707561

0.153682 0.509624
0.0842367 0.209692

0.729076 0.183228
0.721365 0.187602

0.512308 0.268559
0.509421 0.27738

0.460581 0.114193
0.458155 0.119482

0.509842 0.152494
0.502554 0.146828

0.945943 0.17922
0.936313 0.182869

0.675445 0.356512
0.757096 0.302995

0.0514549 0.207208
0.101877 0.219272

0.94449 0.309004
0.914645 0.305602

0.915051 0.291564
0.921768 0.288301

0.67788 0.0860242
0.697168 0.10274

0.345256 0.14546
0.359914 0.161522

0.390874 0.0474103
0.385367 0.0592465

0.144389 0.263783
0.141262 0.27863

0.104982 0.139751
0.111093 0.158986

0.350063 0.253722
0.378688 0.237773

0.0785085 0.691027
0.0935393 0.666822

0.723938 0.346569
0.711125 0.353407

0.301982 0.366027
0.274009 0.370771

0.640862 0.327501
0.639135 0.327698

0.157456 0.527991
0.160402 0.527585

0.0731878 0.812171
0.0744954 0.807762

0.613582 0.0681193
0.605158 0.0641412

0.682638 0.149185
0.613582 0.0681193

0.72379 0.277261
0.723564 0.276559

0.264536 0.197749
0.261595 0.203118

0.196907 0.395555
0.250035 0.240163

0.105565 0.298965
0.190347 0.466937

0.171246 0.0565071
0.151366 0.129893

0.0729233 0.715908
0.0736225 0.711219

0.89115 0.354985
0.556094 0.278548

0.706348 0.333035
0.746506 0.337805

0.188458 0.11659
0.188582 0.116642

0.80221 0.230046
0.671014 0.454767

0.776955 0.076055
0.782303 0.108662

0.911147 0.209932
0.958853 0.208597

0.776955 0.076055
0.91386 0.318021

0.263619 0.0669398
0.284899 0.0751566

0.487864 0.439519
0.50506 0.441701

0.390081 0.144725
0.396249 0.163322

0.495273 0.268223
0.440388 0.261149

0.390081 0.144725
0.388067 0.150411

0.606073 0.374641
0.62668 0.373094

0.305586 0.383401
0.318438 0.384516

0.131123 0.0101189
0.155613 0.0296146

0.887916 0.230439
0.88972 0.230458

0.962488 0.0315784
0.887916 0.230439

0.167081 0.743947
0.930648 0.0600942

0.670617 0.222355
0.652938 0.23345

0.167081 0.743947
0.501235 0.414336

0.147911 0.929372
0.147501 0.927206

0.501235 0.414336
0.494341 0.423908

0.350946 0.0621717
0.353664 0.0756217

0.239097 0.165108
0.245212 0.15948

0.808737 0.378911
0.791259 0.372525

0.572 0.0607959
0.579789 0.0712615

0.838557 0.368503
0.838491 0.368427

0.329919 0.128069
0.335255 0.130591

0.766293 0.113839
0.781595 0.0910331

0.421588 0.0617837
0.457926 0.0672714

0.6749 0.407923
0.667122 0.400397

0.421588 0.0617837
0.429908 0.0794935

0.66419 0.381418
0.667323 0.381538

0.8348 0.213664
0.801412 0.246493

0.564204 0.108088
0.4556 0.126613

0.502062 0.0756417
0.513797 0.0817687

0.0519078 0.842193
0.472861 0.125367

0.0488535 0.229522
0.0503772 0.226932

0.240208 0.884583
0.0488535 0.229522

0.0510807 0.471281
0.0534425 0.476442

0.262493 0.173444
0.273192 0.371477

0.536652 0.30541
0.590071 0.38472

0.717191 0.184703
0.70014 0.196103

0.278703 0.473494
0.295941 0.485794

0.521085 0.264617
0.384921 0.28277

0.580777 0.37542
0.570004 0.355423

0.71726 0.0192506
0.712703 0.0311437

0.0720223 0.545818
0.09114 0.530217

0.0946553 0.383515
0.0943883 0.385429

0.723712 0.266537
0.680106 0.291059

0.116389 0.417656
0.133126 0.413491

0.468354 0.278936
0.425162 0.325686

0.533962 0.184909
0.518334 0.207307

0.369129 0.241038
0.360896 0.268116

0.444317 0.163419
0.369129 0.241038

0.774618 0.121835
0.806562 0.121799

0.332371 0.0512753
0.464802 0.0724044

0.293266 0.292051
0.307986 0.299586

0.679759 0.213139
0.638418 0.22158

0.669997 0.456716
0.670041 0.456632

0.224527 0.0482983
0.249977 0.0716314

0.759175 0.426671
0.746609 0.436375

0.390999 0.0271124
0.396663 0.0332587

0.273041 0.343416
0.232177 0.339304

0.390999 0.0271124
0.257075 0.436106

0.746609 0.436375
0.751257 0.449964

0.45892 0.159399
0.738576 0.43736

0.670484 0.355325
0.675445 0.356512

0.45892 0.159399
0.459733 0.161532

0.538272 0.315551
0.54545 0.343036

0.0807908 0.0615613
0.100909 0.0727307

0.434398 0.0709563
0.433747 0.101887

0.123131 0.17194
0.16407 0.158658

0.782008 0.272205
0.749612 0.268678

0.759716 0.118127
0.759989 0.120012

0.68449 0.306035
0.681918 0.329458

0.783792 0.0399461
0.767223 0.0843428

0.376135 0.231751
0.37641 0.229139

0.68777 0.0652702
0.686035 0.0661971

0.540662 0.407287
0.568428 0.43151

0.68777 0.0652702
0.587743 0.466996

0.0965841 0.127408
0.129 0.149821

0.649525 0.0736514
0.626957 0.0758456

0.526059 0.250264
0.530705 0.256432

0.586266 0.137305
0.58577 0.138235

0.108703 0.15807
0.134242 0.0885711

0.0131342 0.866547
0.0232153 0.791813

0.589461 0.235233
0.601679 0.220365

0.949242 0.410975
0.880807 0.377546

0.145319 0.232231
0.200441 0.244486

0.580089 0.196064
0.57375 0.196591

0.170618 0.498233
0.189015 0.489298

0.664079 0.394261
0.658031 0.401242

0.997837 0.365246
0.797496 0.382663

0.684508 0.121937
0.696868 0.121923

0.997837 0.365246
0.981821 0.364091

0.64405 0.446668
0.591606 0.435964

0.819476 0.24023
0.804678 0.257644

0.320779 0.070148
0.350622 0.0803259

0.412734 0.195537
0.390025 0.186815

0.608141 0.152102
0.57256 0.160011

0.290365 0.431802
0.291433 0.433896

0.039443 0.193915
0.0433657 0.197634

0.500034 0.190881
0.144084 0.25447

0.73822 0.174653
0.696913 0.177468

0.679488 0.165618
0.736387 0.174371

0.0464927 0.888259
0.0841963 0.845216

0.90523 0.304529
0.864805 0.299921

0.273138 0.366793
0.299343 0.364212

